Datetime,PJMW_MW
2018-07-27 01:00:00,5377
2018-07-27 02:00:00,5048
2018-07-27 03:00:00,4888
2018-07-27 04:00:00,4777
2018-07-27 05:00:00,4699
2018-07-27 06:00:00,4924
2018-07-27 07:00:00,5134
2018-07-27 08:00:00,5416
2018-07-27 09:00:00,5680
2018-07-27 10:00:00,5899
2018-07-27 11:00:00,6198
2018-07-27 12:00:00,6460
2018-07-27 13:00:00,6685
2018-07-27 14:00:00,6833
2018-07-27 15:00:00,7048
2018-07-27 16:00:00,7077
2018-07-27 17:00:00,7023
2018-07-27 18:00:00,6864
2018-07-27 19:00:00,6761
2018-07-27 20:00:00,6543
2018-07-27 21:00:00,6363
2018-07-27 22:00:00,6211
2018-07-27 23:00:00,5772
2018-07-28 00:00:00,5279
2018-07-28 01:00:00,4873
2018-07-28 02:00:00,4695
2018-07-28 03:00:00,4504
2018-07-28 04:00:00,4374
2018-07-28 05:00:00,4310
2018-07-28 06:00:00,4386
2018-07-28 07:00:00,4383
2018-07-28 08:00:00,4646
2018-07-28 09:00:00,5003
2018-07-28 10:00:00,5354
2018-07-28 11:00:00,5685
2018-07-28 12:00:00,5887
2018-07-28 13:00:00,6014
2018-07-28 14:00:00,6172
2018-07-28 15:00:00,6311
2018-07-28 16:00:00,6509
2018-07-28 17:00:00,6599
2018-07-28 18:00:00,6624
2018-07-28 19:00:00,6540
2018-07-28 20:00:00,6300
2018-07-28 21:00:00,6000
2018-07-28 22:00:00,5813
2018-07-28 23:00:00,5398
2018-07-29 00:00:00,4961
2018-07-29 01:00:00,4567
2018-07-29 02:00:00,4366
2018-07-29 03:00:00,4158
2018-07-29 04:00:00,4065
2018-07-29 05:00:00,4029
2018-07-29 06:00:00,4034
2018-07-29 07:00:00,4012
2018-07-29 08:00:00,4212
2018-07-29 09:00:00,4552
2018-07-29 10:00:00,4895
2018-07-29 11:00:00,5177
2018-07-29 12:00:00,5507
2018-07-29 13:00:00,5751
2018-07-29 14:00:00,5981
2018-07-29 15:00:00,6183
2018-07-29 16:00:00,6359
2018-07-29 17:00:00,6566
2018-07-29 18:00:00,6688
2018-07-29 19:00:00,6632
2018-07-29 20:00:00,6454
2018-07-29 21:00:00,6257
2018-07-29 22:00:00,6034
2018-07-29 23:00:00,5612
2018-07-30 00:00:00,5160
2018-07-30 01:00:00,4731
2018-07-30 02:00:00,4593
2018-07-30 03:00:00,4416
2018-07-30 04:00:00,4378
2018-07-30 05:00:00,4411
2018-07-30 06:00:00,4619
2018-07-30 07:00:00,4842
2018-07-30 08:00:00,5153
2018-07-30 09:00:00,5379
2018-07-30 10:00:00,5594
2018-07-30 11:00:00,5789
2018-07-30 12:00:00,5967
2018-07-30 13:00:00,6106
2018-07-30 14:00:00,6101
2018-07-30 15:00:00,6073
2018-07-30 16:00:00,6164
2018-07-30 17:00:00,6181
2018-07-30 18:00:00,6232
2018-07-30 19:00:00,6187
2018-07-30 20:00:00,6172
2018-07-30 21:00:00,6067
2018-07-30 22:00:00,5910
2018-07-30 23:00:00,5600
2018-07-31 00:00:00,5147
2018-07-31 01:00:00,4847
2018-07-31 02:00:00,4535
2018-07-31 03:00:00,4492
2018-07-31 04:00:00,4394
2018-07-31 05:00:00,4471
2018-07-31 06:00:00,4666
2018-07-31 07:00:00,4955
2018-07-31 08:00:00,5159
2018-07-31 09:00:00,5389
2018-07-31 10:00:00,5653
2018-07-31 11:00:00,5936
2018-07-31 12:00:00,6264
2018-07-31 13:00:00,6416
2018-07-31 14:00:00,6559
2018-07-31 15:00:00,6621
2018-07-31 16:00:00,6562
2018-07-31 17:00:00,6466
2018-07-31 18:00:00,6480
2018-07-31 19:00:00,6426
2018-07-31 20:00:00,6276
2018-07-31 21:00:00,6250
2018-07-31 22:00:00,6123
2018-07-31 23:00:00,5771
2018-08-01 00:00:00,5343
2018-08-01 01:00:00,5061
2018-08-01 02:00:00,4817
2018-08-01 03:00:00,4687
2018-08-01 04:00:00,4588
2018-08-01 05:00:00,4565
2018-08-01 06:00:00,4815
2018-08-01 07:00:00,5135
2018-08-01 08:00:00,5509
2018-08-01 09:00:00,5644
2018-08-01 10:00:00,5846
2018-08-01 11:00:00,6165
2018-08-01 12:00:00,6419
2018-08-01 13:00:00,6614
2018-08-01 14:00:00,6853
2018-08-01 15:00:00,6980
2018-08-01 16:00:00,7090
2018-08-01 17:00:00,7113
2018-08-01 18:00:00,7147
2018-08-01 19:00:00,7012
2018-08-01 20:00:00,6816
2018-08-01 21:00:00,6571
2018-08-01 22:00:00,6362
2018-08-01 23:00:00,5881
2018-08-02 00:00:00,5363
2018-08-02 01:00:00,5100
2018-08-02 02:00:00,4840
2018-08-02 03:00:00,4745
2018-08-02 04:00:00,4572
2018-08-02 05:00:00,4594
2018-08-02 06:00:00,4826
2018-08-02 07:00:00,5114
2018-08-02 08:00:00,5333
2018-08-02 09:00:00,5597
2018-08-02 10:00:00,5775
2018-08-02 11:00:00,6050
2018-08-02 12:00:00,6152
2018-08-02 13:00:00,6299
2018-08-02 14:00:00,6425
2018-08-02 15:00:00,6492
2018-08-02 16:00:00,6627
2018-08-02 17:00:00,6708
2018-08-02 18:00:00,6758
2018-08-02 19:00:00,6693
2018-08-02 20:00:00,6545
2018-08-02 21:00:00,6496
2018-08-02 22:00:00,6325
2018-08-02 23:00:00,5892
2018-08-03 00:00:00,5489
