Datetime,Hour,DayOfWeek,Month,Year,IsWeekend,IsHoliday,Predicted_MW
2018-08-03 01:00:00,1,4,8,2018,0,0,5059.51
2018-08-03 02:00:00,2,4,8,2018,0,0,4783.43
2018-08-03 03:00:00,3,4,8,2018,0,0,4638.38
2018-08-03 04:00:00,4,4,8,2018,0,0,4566.43
2018-08-03 05:00:00,5,4,8,2018,0,0,4586.52
2018-08-03 06:00:00,6,4,8,2018,0,0,4762.48
2018-08-03 07:00:00,7,4,8,2018,0,0,5084.23
2018-08-03 08:00:00,8,4,8,2018,0,0,5336.96
2018-08-03 09:00:00,9,4,8,2018,0,0,5609.78
2018-08-03 10:00:00,10,4,8,2018,0,0,5903.09
2018-08-03 11:00:00,11,4,8,2018,0,0,6177.68
2018-08-03 12:00:00,12,4,8,2018,0,0,6502.62
2018-08-03 13:00:00,13,4,8,2018,0,0,6752.49
2018-08-03 14:00:00,14,4,8,2018,0,0,6982.38
2018-08-03 15:00:00,15,4,8,2018,0,0,7123.13
2018-08-03 16:00:00,16,4,8,2018,0,0,7241.35
2018-08-03 17:00:00,17,4,8,2018,0,0,7351.45
2018-08-03 18:00:00,18,4,8,2018,0,0,7296.12
2018-08-03 19:00:00,19,4,8,2018,0,0,7204.48
2018-08-03 20:00:00,20,4,8,2018,0,0,6985.25
2018-08-03 21:00:00,21,4,8,2018,0,0,6827.73
2018-08-03 22:00:00,22,4,8,2018,0,0,6593.45
2018-08-03 23:00:00,23,4,8,2018,0,0,6077.73
2018-08-04 00:00:00,0,5,8,2018,1,0,5562.36
2018-08-04 01:00:00,1,5,8,2018,1,0,5142.29
2018-08-04 02:00:00,2,5,8,2018,1,0,4849.12
2018-08-04 03:00:00,3,5,8,2018,1,0,4649.33
2018-08-04 04:00:00,4,5,8,2018,1,0,4550.89
2018-08-04 05:00:00,5,5,8,2018,1,0,4517.93
2018-08-04 06:00:00,6,5,8,2018,1,0,4558.84
2018-08-04 07:00:00,7,5,8,2018,1,0,4621.24
2018-08-04 08:00:00,8,5,8,2018,1,0,4800.7
2018-08-04 09:00:00,9,5,8,2018,1,0,5149.83
2018-08-04 10:00:00,10,5,8,2018,1,0,5545.51
2018-08-04 11:00:00,11,5,8,2018,1,0,5889.32
2018-08-04 12:00:00,12,5,8,2018,1,0,6079.62
